epoch,observed_map50,fit_at_trigger,mu_hat,phase,phase2_epoch,trigger_epoch,tau_hat_at_trigger,a_hat_at_trigger,fit_at_epoch_40,a_hat_at_epoch_40,tau_hat_at_epoch_40,fit_at_epoch_50,a_hat_at_epoch_50,tau_hat_at_epoch_50,fit_at_epoch_54,a_hat_at_epoch_54,tau_hat_at_epoch_54
29,0.6332,0.6137093110093721,0.264026,1,41,54,27.994987,0.95135,0.6210541173419187,1.071033,33.441799,0.6145595023779898,0.971339,28.9549,0.6137093110093721,0.95135,27.994987
30,0.62685,0.6255571992661456,0.342813,1,41,54,27.994987,0.95135,0.6343105110191121,1.071033,33.441799,0.6266710573581991,0.971339,28.9549,0.6255571992661456,0.95135,27.994987
31,0.65554,0.6369893424402852,0.392767,1,41,54,27.994987,0.95135,0.6471763708732811,1.071033,33.441799,0.638371462692713,0.971339,28.9549,0.6369893424402852,0.95135,27.994987
32,0.62828,0.6480203291209121,0.463952,1,41,54,27.994987,0.95135,0.6596632020445594,1.071033,33.441799,0.6496746756340422,0.971339,28.9549,0.6480203291209121,0.95135,27.994987
33,0.62852,0.658664235980251,0.526694,1,41,54,27.994987,0.95135,0.671782170731249,1.071033,33.441799,0.6605941796293576,0.971339,28.9549,0.658664235980251,0.95135,27.994987
34,0.69305,0.66893464573691,0.547821,1,41,54,27.994987,0.95135,0.6835441141750576,1.071033,33.441799,0.6711430004047083,0.971339,28.9549,0.66893464573691,0.95135,27.994987
35,0.70242,0.6788446644888235,0.568515,1,41,54,27.994987,0.95135,0.6949595503521717,1.071033,33.441799,0.6813337215032318,0.971339,28.9549,0.6788446644888235,0.95135,27.994987
36,0.70414,0.688406938437982,0.592046,1,41,54,27.994987,0.95135,0.7060386873788306,1.071033,33.441799,0.6911784992958889,0.971339,28.9549,0.688406938437982,0.95135,27.994987
37,0.68849,0.6976336700282827,0.624232,1,41,54,27.994987,0.95135,0.7167914326398109,1.071033,33.441799,0.7006890774826313,0.971339,28.9549,0.6976336700282827,0.95135,27.994987
38,0.67521,0.7065366335171025,0.660098,1,41,54,27.994987,0.95135,0.7272274016479854,1.071033,33.441799,0.7098768011012999,0.971339,28.9549,0.7065366335171025,0.95135,27.994987
39,0.6995,0.7151271900004605,0.684887,1,41,54,27.994987,0.95135,0.7373559266428804,1.071033,33.441799,0.7187526300609645,0.971339,28.9549,0.7151271900004605,0.95135,27.994987
40,0.73716,0.7234163019109425,0.697631,1,41,54,27.994987,0.95135,0.7471860649359185,1.071033,33.441799,0.7273271522158478,0.971339,28.9549,0.7234163019109425,0.95135,27.994987
41,0.73831,0.731414547006892,0.711821,1,41,54,27.994987,0.95135,0.7567266070098098,1.071033,33.441799,0.735610595995432,0.971339,28.9549,0.731414547006892,0.95135,27.994987
42,0.7462,0.7391321318707161,0.725059,2,41,54,27.994987,0.95135,0.7659860843793348,1.071033,33.441799,0.7436128426058104,0.971339,28.9549,0.7391321318707161,0.95135,27.994987
43,0.74414,0.7465789049335332,0.739794,2,41,54,27.994987,0.95135,0.7749727772205492,1.071033,33.441799,0.7513434378168435,0.971339,28.9549,0.7465789049335332,0.95135,27.994987
44,0.76383,0.7537643690427834,0.750451,2,41,54,27.994987,0.95135,0.7836947217752324,1.071033,33.441799,0.7588116033491753,0.971339,28.9549,0.7537643690427834,0.95135,27.994987
45,0.75482,0.760697693588837,0.763985,2,41,54,27.994987,0.95135,0.7921597175371974,1.071033,33.441799,0.7660262478746975,0.971339,28.9549,0.760697693588837,0.95135,27.994987
46,0.74726,0.7673877262060796,0.77911,2,41,54,27.994987,0.95135,0.8003753342268969,1.071033,33.441799,0.7729959776435817,0.971339,28.9549,0.7673877262060796,0.95135,27.994987
47,0.76482,0.7738430040634022,0.790651,2,41,54,27.994987,0.95135,0.808348918560553,1.071033,33.441799,0.7797291067505566,0.971339,28.9549,0.7738430040634022,0.95135,27.994987
48,0.76689,0.7800717647585054,0.801937,2,41,54,27.994987,0.95135,0.8160876008198696,1.071033,33.441799,0.786233667052677,0.971339,28.9549,0.7800717647585054,0.95135,27.994987
49,0.77034,0.7860819568299204,0.812651,2,41,54,27.994987,0.95135,0.8235983012282021,1.071033,33.441799,0.7925174177504165,0.971339,28.9549,0.7860819568299204,0.95135,27.994987
50,0.77826,0.7918812499001613,0.822152,2,41,54,27.994987,0.95135,0.8308877361388824,1.071033,33.441799,0.7985878546435096,0.971339,28.9549,0.7918812499001613,0.95135,27.994987
51,0.799,0.7974770444629506,0.828915,2,41,54,27.994987,0.95135,0.8379624240412376,1.071033,33.441799,0.8044522190725887,0.971339,28.9549,0.7974770444629506,0.95135,27.994987
52,0.79345,0.8028764813270101,0.836755,2,41,54,27.994987,0.95135,0.8448286913896706,1.071033,33.441799,0.8101175065572801,0.971339,28.9549,0.8028764813270101,0.95135,27.994987
53,0.7832,0.8080864507284657,0.845869,2,41,54,27.994987,0.95135,0.8514926782610156,1.071033,33.441799,0.8155904751410626,0.971339,28.9549,0.8080864507284657,0.95135,27.994987
54,0.78352,0.8131136011234971,0.854694,2,41,54,27.994987,0.95135,0.8579603438452271,1.071033,33.441799,0.8208776534528444,0.971339,28.9549,0.8131136011234971,0.95135,27.994987
55,0.78729,0.8179643476724505,0.862839,3,41,54,27.994987,0.95135,0.8642374717743153,1.071033,33.441799,0.8259853484948753,0.971339,28.9549,0.8179643476724505,0.95135,27.994987
56,0.80377,0.8226448804262428,0.869206,3,41,54,27.994987,0.95135,0.8703296752942878,1.071033,33.441799,0.8309196531662821,0.971339,28.9549,0.8226448804262428,0.95135,27.994987
57,0.80236,0.827161172225502,0.875658,3,41,54,27.994987,0.95135,0.8762424022847279,1.071033,33.441799,0.8356864535312051,0.971339,28.9549,0.827161172225502,0.95135,27.994987
