epoch,observed_map50,fit_at_trigger,mu_hat,phase,phase2_epoch,trigger_epoch,tau_hat_at_trigger,a_hat_at_trigger,fit_at_epoch_7,a_hat_at_epoch_7,tau_hat_at_epoch_7,fit_at_epoch_9,a_hat_at_epoch_9,tau_hat_at_epoch_9,fit_at_epoch_10,a_hat_at_epoch_10,tau_hat_at_epoch_10
29,0.8944,0.9737398579753459,0.999763,3,10,10,4.23978,0.974783,1.5367835445030795,1.595157,8.766981,1.0972050385658931,1.101442,5.215331,0.9737398579753459,0.974783,4.23978
30,0.88903,0.9739590323079926,0.999821,3,10,10,4.23978,0.974783,1.5430761714936727,1.595157,8.766981,1.0979443056814084,1.101442,5.215331,0.9739590323079926,0.974783,4.23978
31,0.89701,0.9741321559716453,0.999864,3,10,10,4.23978,0.974783,1.548690456691654,1.595157,8.766981,1.0985545851069052,1.101442,5.215331,0.9741321559716453,0.974783,4.23978
32,0.90747,0.9742689046618527,0.999895,3,10,10,4.23978,0.974783,1.5536995249760746,1.595157,8.766981,1.0990583826779974,1.101442,5.215331,0.9742689046618527,0.974783,4.23978
33,0.91873,0.9743769211159808,0.999917,3,10,10,4.23978,0.974783,1.5581686184035,1.595157,8.766981,1.0994742774010278,1.101442,5.215331,0.9743769211159808,0.974783,4.23978
34,0.9313,0.9744622422575928,0.999934,3,10,10,4.23978,0.974783,1.5621559459720176,1.595157,8.766981,1.0998176066081728,1.101442,5.215331,0.9744622422575928,0.974783,4.23978
35,0.92553,0.9745296365936197,0.999948,3,10,10,4.23978,0.974783,1.5657134417811438,1.595157,8.766981,1.1001010315663449,1.101442,5.215331,0.9745296365936197,0.974783,4.23978
36,0.92611,0.9745828707210904,0.999959,3,10,10,4.23978,0.974783,1.5688874414625031,1.595157,8.766981,1.1003350043983762,1.101442,5.215331,0.9745828707210904,0.974783,4.23978
37,0.9163,0.9746249198381918,0.999968,3,10,10,4.23978,0.974783,1.571719285691645,1.595157,8.766981,1.100528153535565,1.101442,5.215331,0.9746249198381918,0.974783,4.23978
38,0.92117,0.974658134024899,0.999975,3,10,10,4.23978,0.974783,1.574245858641611,1.595157,8.766981,1.1006876019162721,1.101442,5.215331,0.974658134024899,0.974783,4.23978
39,0.93194,0.9746843695864201,0.99998,3,10,10,4.23978,0.974783,1.576500068391501,1.595157,8.766981,1.1008192296650683,1.101442,5.215331,0.9746843695864201,0.974783,4.23978
40,0.91968,0.9747050928000996,0.999985,3,10,10,4.23978,0.974783,1.5785112755472515,1.595157,8.766981,1.1009278909394966,1.101442,5.215331,0.9747050928000996,0.974783,4.23978
